,index,Institute,Academic Program Name,Quota,Category,Gender,Opening Rank,Closing Rank,Round,Course Time,Degree Type,IIT,State
46478,46478,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,OPEN-PwD,Gender-Neutral,73,166,6,4, bachelor of technology,1,Odisha
46479,46479,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,EWS,Gender-Neutral,471,499,6,4, bachelor of technology,1,Odisha
46480,46480,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,EWS,Female-only,1101,1101,6,4, bachelor of technology,1,Odisha
46481,46481,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,OBC-NCL,Gender-Neutral,1085,1548,6,4, bachelor of technology,1,Odisha
46482,46482,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,OBC-NCL,Female-only,3079,3173,6,4, bachelor of technology,1,Odisha
46483,46483,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,SC,Gender-Neutral,762,1055,6,4, bachelor of technology,1,Odisha
46484,46484,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,SC,Female-only,1499,1640,6,4, bachelor of technology,1,Odisha
46485,46485,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,ST,Gender-Neutral,341,518,6,4, bachelor of technology,1,Odisha
46486,46486,Indian Institute of Technology Bhubaneswar,electronics and communication engineering,AI,ST,Female-only,680,680,6,4, bachelor of technology,1,Odisha
46487,46487,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,GEN,Gender-Neutral,7084,8741,6,4, bachelor of technology,1,Odisha
46488,46488,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,GEN,Female-only,11522,16420,6,4, bachelor of technology,1,Odisha
46489,46489,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,EWS,Gender-Neutral,1081,1315,6,4, bachelor of technology,1,Odisha
46490,46490,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,EWS,Female-only,2293,3464,6,4, bachelor of technology,1,Odisha
46491,46491,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,OBC-NCL,Gender-Neutral,2593,3237,6,4, bachelor of technology,1,Odisha
46492,46492,Indian Institute of Technology Bhubaneswar,mechanical engineering,AI,OBC-NCL,Female-only,5627,7337,6,4, bachelor of technology,1,Odisha
